,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,14452.962869065454,5764.852754373624,1286.6962677128001,709.6029373080083,831.7351430995724,810.5209976999995,172.8260271573324,11480.195231449467,107.14227417521602,3957.392722449052
ODE-SR,18734.94771251006,6216.396560763349,1315.835993194876,776.8995797153616,856.438033574144,877.5677784225456,184.6553441809423,16429.061658243918,138.28586855220576,5058.898725461934
ODE-DE,11153.187886799511,10317.434322543566,200.99729492783231,133.15078350329367,155.15078158785536,230.72233921796052,40.71297640909384,1353.2690010012932,42.12783044924882,2625.194801826628
