,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.162599287511846,0.2814319837128307,0.30716072277698736,0.2701191234518494,0.27910575271797733,0.2418743651745746,0.323644245612982,0.1394649306507783,0.26454882512399014,0.25221658185931284
ODE-SR,0.21077264068435272,0.30347571571779675,0.3141169714000659,0.29573642166553543,0.2873953132799141,0.26188235703448093,0.34579652468341254,0.19958527696005537,0.341446589017792,0.28446753449371176
ODE-DE,0.12547603009213396,0.5036825972731677,0.04798216637093156,0.050685490484694964,0.05206402066706556,0.06885178729273665,0.07624152885598097,0.0164399266363926,0.10401933444258968,0.11616032023507707
