,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.2258192428572209,0.2568769224241325,0.19293090563202808,0.24323610647944768,0.13787602387776673,0.18646017324978964,0.12233023074751523,0.24084740599668888,0.36699578505926816,0.2192636440359842
ODE-SR,0.2020309653370219,0.23635537560846917,0.1796636562526989,0.22235623752786415,0.12505986283757028,0.1719562922589625,0.10182622468834637,0.20928954182159745,0.3364032124059593,0.19832681874872113
ODE-DE,0.19089565159289426,0.08060030793935777,0.09685859810202727,0.1617100420878051,0.06384886108579552,0.14261517969867932,0.05795556615952595,0.16896927431425943,0.27664577047835104,0.13778880571763283
