,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,22629.34632672211,5959.544600239875,1364.2144337240704,1041.7802440514745,810.1595163057574,979.8482104276445,113.40012390294662,22890.619160737304,172.85501476291532,6217.974181208232
ODE-SR,20245.523036422965,5483.444714116485,1270.4017133628338,952.3517653318422,734.851754033563,903.630315820848,94.39291028609709,19891.296633808266,158.44591304320682,5526.037639580678
ODE-DE,19129.653246123933,1869.9271441931003,684.8871471794347,692.6041102620692,375.17590774013445,749.4427693165599,53.724809829880556,16059.177769375843,130.30015789530333,4416.0992291018065
