,S,T,E,A,Y,D,Q,R,F
160,75376,1664,1094,1080,928,1259,12,117957,630
161,75165,1666,1063,1051,902,1227,13,118281,632
162,74956,1673,1032,1023,878,1195,14,118596,633
163,74749,1684,1003,996,853,1164,14,118903,635
164,74544,1698,974,969,829,1134,15,119201,637
165,74343,1715,945,942,806,1104,15,119492,638
166,74145,1733,918,917,783,1075,15,119775,640
167,73951,1753,890,891,760,1047,15,120050,641
168,73763,1773,864,867,738,1019,15,120318,642
169,73580,1793,838,842,717,992,16,120578,644
170,73402,1812,813,819,696,966,15,120831,645
171,73231,1830,788,796,676,940,15,121078,646
172,73066,1847,764,773,656,915,15,121317,648
173,72908,1861,741,751,636,890,15,121549,649
174,72756,1873,718,729,617,866,15,121775,650
175,72611,1883,696,708,599,842,14,121995,651
176,72474,1889,675,688,581,819,14,122208,652
177,72344,1893,654,668,563,796,14,122415,653
178,72221,1893,634,648,546,774,13,122616,654
179,72106,1889,614,629,530,752,13,122812,655
180,71997,1883,595,611,514,731,12,123001,656
181,71896,1872,576,593,498,710,12,123185,657
182,71802,1859,558,576,483,690,11,123364,658
