,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,5898.955345255267,2554.476092065215,526.3014922355139,362.4947119444198,434.68416006020095,551.7795668166244,120.68969538173745,4012.0849913846373,11.974475826121203,1608.1600589966374
ODE-SR,7331.454415669292,3133.521578269398,593.2171156144843,475.865481415302,481.9119331933244,626.6292743227764,111.68820065105783,3836.1551244950274,10.249659345048345,1844.5214203306346
ODE-DE,12187.004276481266,12251.216882795343,249.70773079676994,160.87910812686025,298.0194826212842,301.9259580642338,175.86557210992694,1109.6152510958384,24.945404868306223,2973.2421852177595
