,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.064291689,0.11595969367947774,0.10651720142390486,0.11900679971911353,0.11951722850156749,0.1419551239559106,0.18231071809930127,0.045705619568980047,0.023433416,0.10207749894290014
ODE-SR,0.079904247,0.1422452938521675,0.12006013268862262,0.15622635634120222,0.1325025936742712,0.161211545,0.16871329403483054,0.043701428834201334,0.020058042,0.11384699259541985
ODE-DE,0.1328240414643801,0.5561404005082093,0.050537893300297496,0.052816516,0.081941018,0.077675832,0.26565796391227636,0.012640722378371612,0.048816839,0.14211680297450424
