,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.084920378848553,0.09916721472348558,0.12369842315775852,0.11128020641736314,0.1493395544603904,0.13022382319566023,0.136454015828561,0.0791770983827397,0.038874004380877035,0.10590385771059874
ODE-SR,0.0808163245847298,0.1161717768358252,0.11854442070846376,0.11374151661935561,0.14374775078001026,0.13217253288183875,0.14314643076943698,0.06376007251834465,0.05211012011320268,0.10713454953457863
ODE-DE,0.19089565159289426,0.08060030793935777,0.09685859810202727,0.1617100420878051,0.06384886108579552,0.14261517969867932,0.05795556615952595,0.16896927431425943,0.27664577047835104,0.13778880571763283
