,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,8509.871164413496,2300.6793815848655,874.6715501485104,476.6131240855663,877.519222009254,684.3261908931945,126.49287267307605,7525.149784492347,18.309656063393085,2377.0703273737445
ODE-SR,8098.603886635773,2695.185222591145,838.2275988295471,487.15491568070007,844.6617835833403,694.5666602940627,132.69674132326807,6059.884812288512,24.54386657331846,2208.39172086663
ODE-DE,19129.653246123933,1869.9271441931003,684.8871471794347,692.6041102620692,375.17590774013445,749.4427693165599,53.724809829880556,16059.177769375843,130.30015789530333,4416.0992291018065
