,S,T,E,A,Y,D,Q,R,F
69,19149.0,3163.0,2784.0,2143.0,2429.0,2512.0,164.0,17586.0,70.0
70,18837.0,3076.0,2652.0,2061.0,2376.0,2460.0,166.0,18297.0,75.0
71,18507.0,2982.0,2580.0,2025.0,2247.0,2453.0,180.0,18947.0,79.0
72,18189.0,2935.0,2474.0,1944.9999999999998,2145.0,2431.0,156.0,19643.0,82.0
73,17970.0,2804.0,2351.0,1859.9999999999998,2090.0,2362.0,150.0,20326.0,87.0
74,17726.0,2705.0,2229.0,1825.9999999999998,2031.0000000000002,2306.0,141.0,20944.0,92.0
75,17539.0,2589.0,2095.0,1765.9999999999998,2017.0,2243.0,122.0,21533.0,96.0
76,17399.0,2426.0,2026.0,1710.0,1946.0000000000002,2160.0,127.00000000000001,22106.0,100.0
77,17172.0,2357.0,1938.0000000000002,1651.0,1832.0,2112.0,130.0,22704.0,103.99999999999999
78,17033.0,2235.0,1859.0,1601.0,1746.0,2062.0,96.0,23259.0,109.0
79,16929.0,2109.0,1764.0,1549.0,1671.9999999999998,1952.9999999999998,93.0,23821.0,110.0
80,16781.0,2002.0,1649.0000000000002,1476.0,1615.0000000000002,1848.0,84.0,24432.0,112.99999999999999
81,16659.0,1918.9999999999998,1511.0,1447.0,1590.0,1763.0,70.0,24927.0,114.0
82,16533.0,1807.0,1487.0,1351.0,1530.0,1683.0000000000002,59.0,25432.0,118.0
83,16415.0,1716.0000000000002,1445.0,1305.0,1473.0,1612.9999999999998,51.99999999999999,25857.000000000004,124.0
84,16335.0,1616.0,1353.0,1244.0,1404.0,1531.0,49.0,26338.0,130.0
85,16272.0,1511.0,1243.0,1194.0,1347.0,1467.0,49.0,26784.999999999996,132.0
86,16208.0,1414.0,1198.0,1128.0,1255.0,1416.0,42.0,27204.0,135.0
87,16122.0,1358.0,1127.0,1064.0,1194.0,1339.0,46.0,27611.999999999996,138.0
88,16042.999999999998,1267.0,1081.0,1018.9999999999999,1139.0,1268.0,44.0,28000.000000000004,139.0
89,15955.0,1203.0,1052.0,982.0000000000001,1096.0,1216.0,32.0,28324.0,140.0
90,15909.000000000002,1144.0,999.0000000000001,916.9999999999999,1051.0,1148.0,34.0,28649.000000000004,149.0
91,15906.999999999998,1039.0,929.9999999999999,873.0,993.9999999999999,1085.0,34.0,28986.0,152.0
92,15851.000000000002,980.9999999999999,881.0,839.0,944.0,1046.0,23.0,29281.0,154.0
93,15779.000000000002,932.0,854.0000000000001,809.0,903.9999999999999,976.0,34.0,29553.0,159.0
94,15726.000000000002,869.9999999999999,809.0,780.0,848.9999999999999,912.9999999999999,41.0,29850.0,162.0
95,15679.000000000002,814.9999999999999,800.0,716.0,801.0,875.0000000000001,31.0,30120.999999999996,162.0
96,15611.0,789.0,761.0,696.0,744.0,842.0,25.0,30366.0,166.0
97,15566.0,742.0,713.0,665.0,725.0,776.0,21.0,30624.0,168.0
98,15502.0,710.0,693.0,655.0,704.0,722.0,20.0,30823.0,171.0
99,15451.0,674.0,666.0,623.0,679.0,703.0,12.0,31019.000000000004,173.0
100,15423.999999999998,628.0,623.0,594.0,655.0,657.0,17.0,31227.0,175.0
101,15406.0,569.0,587.0,574.0,618.0,628.0,12.0,31428.0,178.0
102,15355.0,542.0,580.0,553.0,588.0,579.0,12.999999999999998,31611.0,179.0
103,15330.0,505.0,538.0,521.0,584.0,559.0,10.0,31772.0,181.0
104,15273.999999999998,483.0,533.0,500.99999999999994,557.0,529.0,9.0,31929.999999999996,184.0
105,15233.0,460.0,524.0,469.0,526.0,517.0,8.0,32079.000000000004,184.0
106,15215.999999999998,430.0,479.99999999999994,429.00000000000006,527.0,475.0,6.0,32253.0,184.0
107,15194.0,400.99999999999994,421.0,420.0,515.0,454.0,11.0,32398.0,186.0
108,15162.999999999998,385.0,396.0,398.99999999999994,483.0,443.0,9.0,32536.0,186.0
109,15124.000000000002,367.0,394.0,380.0,464.0,406.0,10.0,32665.0,190.0
110,15112.999999999998,335.0,382.0,368.0,430.99999999999994,396.0,6.999999999999999,32778.0,190.0
111,15075.0,324.0,362.0,367.0,409.0,389.0,3.0,32880.0,191.0
112,15043.999999999998,310.0,354.0,341.0,390.0,368.0,6.0,32996.0,191.0
113,15033.0,285.0,338.0,306.0,372.0,355.0,1.0,33119.0,191.0
114,15004.999999999998,274.0,316.0,303.0,344.0,328.0,5.0,33233.0,192.0
115,14990.999999999998,258.0,287.0,294.0,323.0,318.0,4.0,33333.0,192.0
116,14974.000000000002,243.0,280.0,283.0,310.0,290.0,2.0,33425.0,193.0
117,14951.0,232.0,271.0,282.0,288.0,269.0,3.0,33509.0,195.0
118,14935.000000000002,220.0,259.0,274.0,271.0,256.0,3.0,33587.0,195.0
119,14920.0,207.99999999999997,240.99999999999997,274.0,258.0,244.0,2.0,33657.0,196.0
120,14910.000000000002,193.0,240.99999999999997,260.0,231.0,238.00000000000003,2.0,33728.0,197.0
121,14902.000000000002,179.0,232.0,244.0,211.0,232.0,2.0,33800.0,198.0
122,14893.999999999998,165.0,210.0,228.0,210.0,221.00000000000003,1.0,33873.0,198.0
123,14879.999999999998,158.0,195.0,227.0,197.0,212.0,1.0,33932.0,198.0
124,14849.000000000002,149.0,193.0,219.0,195.0,198.0,1.0,33997.0,199.0
125,14838.000000000002,139.0,192.0,206.00000000000003,178.0,182.0,1.0,34063.0,201.0
126,14831.0,128.0,197.0,180.0,168.0,173.0,1.0,34120.0,202.0
127,14820.0,119.99999999999999,192.0,175.0,171.0,162.0,1.0,34156.0,203.0
128,14810.000000000002,109.0,178.0,171.0,162.0,156.0,1.0,34210.0,203.0
129,14801.0,96.0,164.0,170.0,151.0,140.0,3.0,34272.0,203.0
130,14782.999999999998,99.0,146.0,167.0,158.0,135.0,2.0,34307.0,203.0
131,14768.999999999998,95.0,147.0,157.0,138.0,135.0,1.0,34354.0,204.00000000000003
132,14754.0,96.0,143.0,151.0,136.0,129.0,1.0,34386.0,204.00000000000003
133,14748.0,94.0,129.0,133.0,130.0,133.0,1.0,34427.0,205.00000000000003
134,14742.0,88.0,122.0,120.99999999999999,129.0,124.0,0.0,34469.0,205.00000000000003
135,14726.0,82.0,126.0,119.00000000000001,123.0,108.0,1.0,34510.0,205.00000000000003
136,14717.0,77.0,131.0,109.0,122.0,107.0,0.0,34532.0,205.00000000000003
137,14702.000000000002,72.0,133.0,107.0,123.0,96.0,0.0,34562.0,205.00000000000003
138,14688.000000000002,77.0,124.0,102.00000000000001,109.0,96.0,1.0,34596.0,206.99999999999997
139,14685.0,72.0,120.99999999999999,96.0,106.0,91.0,1.0,34621.0,206.99999999999997
140,14671.999999999998,74.0,124.0,94.0,107.0,87.0,0.0,34634.0,207.99999999999997
141,14651.0,79.0,119.00000000000001,103.00000000000001,101.0,80.0,2.0,34657.0,207.99999999999997
142,14639.0,74.0,120.99999999999999,100.0,101.0,76.0,1.0,34680.0,207.99999999999997
143,14632.0,75.0,112.99999999999999,93.0,101.0,78.0,1.0,34699.0,207.99999999999997
144,14623.0,71.0,108.0,88.0,105.0,74.0,1.0,34722.0,207.99999999999997
145,14610.999999999998,70.0,98.0,91.0,103.99999999999999,75.0,2.0,34741.0,207.99999999999997
146,14606.0,66.0,90.0,89.0,101.0,76.0,1.0,34763.0,207.99999999999997
147,14585.0,64.0,103.00000000000001,84.0,92.0,73.0,1.0,34790.0,207.99999999999997
148,14577.000000000002,66.0,96.0,84.0,91.0,76.0,2.0,34800.0,207.99999999999997
149,14562.0,71.0,91.0,89.0,89.0,75.0,0.0,34815.0,207.99999999999997
150,14551.0,67.0,102.00000000000001,90.0,85.0,71.0,1.0,34824.0,208.99999999999997
151,14546.0,64.0,94.0,90.0,87.0,64.0,0.0,34846.0,208.99999999999997
152,14549.0,55.99999999999999,93.0,85.0,88.0,59.99999999999999,1.0,34859.0,208.99999999999997
153,14538.000000000002,61.0,92.0,82.0,79.0,59.0,0.0,34880.0,208.99999999999997
154,14530.000000000002,61.0,83.0,79.0,65.0,57.0,1.0,34915.0,208.99999999999997
155,14518.0,58.0,82.0,81.0,68.0,57.0,1.0,34926.0,208.99999999999997
156,14512.0,55.99999999999999,86.0,76.0,66.0,49.0,2.0,34944.0,208.99999999999997
157,14501.0,55.99999999999999,82.0,77.0,65.0,51.00000000000001,0.0,34958.0,210.0
158,14496.0,55.0,78.0,76.0,64.0,46.0,0.0,34975.0,210.0
159,14493.0,48.0,79.0,65.0,64.0,47.0,0.0,34994.0,210.0
160,14492.0,43.0,74.0,58.0,63.0,45.0,0.0,35015.0,210.0
161,14488.0,40.0,68.0,53.0,65.0,49.0,0.0,35027.0,210.0
162,14484.0,38.0,57.0,59.0,65.0,51.99999999999999,0.0,35035.0,210.0
163,14485.0,33.0,54.0,59.0,59.0,55.0,0.0,35044.0,211.0
164,14485.0,32.0,49.0,54.0,54.0,46.0,0.0,35069.0,211.0
165,14481.0,32.0,48.0,53.0,54.0,41.0,0.0,35080.0,211.0
166,14480.000000000002,31.0,41.0,51.00000000000001,55.0,42.0,1.0,35088.0,211.0
167,14482.999999999998,25.999999999999996,44.0,46.0,51.99999999999999,40.0,1.0,35097.0,211.0
168,14485.0,24.0,40.0,42.0,49.0,38.0,1.0,35110.0,211.0
169,14485.0,23.0,41.0,36.0,39.0,41.0,1.0,35123.0,211.0
170,14477.000000000002,25.0,40.0,32.0,37.0,39.0,0.0,35139.0,211.0
171,14477.000000000002,24.0,29.0,34.0,38.0,33.0,0.0,35154.0,211.0
172,14476.0,24.0,25.0,27.999999999999996,31.0,35.0,0.0,35170.0,211.0
173,14471.999999999998,25.999999999999996,20.0,27.999999999999996,27.999999999999996,34.0,0.0,35181.0,211.0
174,14466.000000000002,25.999999999999996,24.0,25.999999999999996,25.0,27.999999999999996,0.0,35193.0,212.0
175,14467.0,24.0,21.0,25.999999999999996,24.0,27.0,0.0,35199.0,212.0
176,14467.0,23.0,21.0,25.999999999999996,23.0,27.0,0.0,35201.0,212.0
177,14467.0,20.0,22.0,23.0,16.0,29.999999999999996,0.0,35210.0,212.0
178,14465.0,20.0,22.0,23.0,17.0,27.999999999999996,0.0,35213.0,212.0
179,14466.000000000002,19.0,18.0,21.0,19.0,24.0,0.0,35221.0,212.0
180,14463.999999999998,20.0,19.0,20.0,16.0,23.0,0.0,35226.0,212.0
181,14463.999999999998,18.0,19.0,21.0,17.0,18.0,0.0,35231.0,212.0
182,14465.0,14.999999999999998,20.0,23.0,14.999999999999998,16.0,0.0,35234.0,212.0
