,RSS_sparse,RSS_de
S,731866035.8573502,2002370456.0
T,66977004.44284277,74895880.0
E,20589430.370889872,19776561.0
A,8978618.432697088,7641047.0
Y,17767530.27265837,12115286.0
D,25643715.73535392,27248781.0
Q,281486.35260150576,143090.0
R,444140251.4546808,1210207748.0
F,21837.10448870861,7414.000000000001
