,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.027782353100766155,0.06779272467980108,0.06826775003754143,0.04544982653058413,0.10072840651139751,0.061483296888589486,0.12352972131868568,0.02694918230974054,0.11259745431100412,0.07050896840979001
ODE-SR,0.060360653557210805,0.1087558092523158,0.08751502250176924,0.07092660101301329,0.12134834428133087,0.10124863031797487,0.1523209971342324,0.049378968361234746,0.07174966272274796,0.09151163212687002
ODE-DE,0.19089565159289426,0.08060030793935777,0.09685859810202727,0.1617100420878051,0.06384886108579552,0.14261517969867932,0.05795556615952595,0.16896927431425943,0.27664577047835104,0.13778880571763283
