,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,2784.0696042277764,1572.791212571385,482.7212605154554,194.66160703049184,591.8801166609718,323.09472514953774,114.51205166242163,2561.3041850823606,53.033400980482945,964.2297959867649
ODE-SR,6048.741092968095,2523.1347746537267,618.8187241100102,303.77863213873593,713.0428709971002,532.061552320958,141.20156434343343,4693.075910988473,33.79409114241429,1734.1832459625493
ODE-DE,19129.653246123933,1869.9271441931003,684.8871471794347,692.6041102620692,375.17590774013445,749.4427693165599,53.724809829880556,16059.177769375843,130.30015789530333,4416.0992291018065
