,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,0.018703562019538014,0.03180114611721477,0.03729035112347245,0.06707187392882005,0.026997922330436484,0.059605897184007044,0.09464333241443898,0.02374184856709866,0.1333909188370178,0.0548052058357827
ODE-SR,0.04100442190633627,0.1034468738894537,0.05283635035502289,0.07900399785466919,0.04886028615089428,0.09635784429171032,0.17444883324508909,0.015672049141239063,0.10855720722327558,0.08002087378418782
ODE-DE,0.12547603009213396,0.5036825972731677,0.04798216637093156,0.050685490484694964,0.05206402066706556,0.06885178729273665,0.07624152885598097,0.0164399266363926,0.10401933444258968,0.11616032023507707
