,S,T,E,A,Y,D,Q,R,F,Mean
ODE-NN,1662.5035172306755,651.4146770650274,156.2092808562261,176.1978128110103,80.45380854470072,199.7393614636076,50.539539509310416,1954.3340066492933,54.02332212899221,553.9350362509826
ODE-SR,3644.760049988512,2119.0057647515696,221.33147163719087,207.54350236421595,145.60365272966496,322.8951362215213,93.15567695287757,1290.0603971102346,43.96566892542661,898.7023689645793
ODE-DE,11153.187886799511,10317.434322543566,200.99729492783231,133.15078350329367,155.15078158785536,230.72233921796052,40.71297640909384,1353.2690010012932,42.12783044924882,2625.194801826628
